Schoolnumber,Name,Province,SchoolLevel,District,Grant_Class,latitude,longitude
17133,MARIRANGWE,Midlands,Secondary,Gokwe South,S3,,
17134,SELIMA,Midlands,Secondary,Gokwe South,S3,,
17135,ST PAULS GOKWE,Midlands,Secondary,Gokwe South,S2,,
17142,MSASA,Midlands,Secondary,Shurugwi,S3,,
17144,WADZANAYI COOPERATIVE,Midlands,Primary,Chirumanzu,P3,,
17145,BUSH PARK 2,Midlands,Primary,Chirumanzu,P3,,
17146,WOODLANDS,Midlands,Primary,Zvishavane,P3,,
17402,DRIEFONTEIN,Midlands,Secondary,Chirumanzu,S2,-19.41675,30.70963
17900,DEFE,Midlands,Secondary,Gokwe South,S3,-17.84598,28.53905
17901,GOLDRIDGE COLLEGE,Midlands,Secondary,Kwekwe,S1,-18.9429,29.81923
17902,CHEDOPE,Midlands,Primary,Zvishavane,P3,-20.23701,30.26395
17903,CHIRERE,Midlands,Primary,Zvishavane,P3,-20.23438,30.19566
17904,GWEMVURACHENA,Midlands,Primary,Zvishavane,P3,-20.36966,30.17521
17905,MAPIRIMIRA,Midlands,Primary,Zvishavane,P3,-20.12705,29.86131
17906,MTSHINGWE,Midlands,Primary,Zvishavane,P3,-20.37178,29.86001
17907,ORETI,Midlands,Primary,Zvishavane,P3,-20.34008,29.97275
17908,BOROMOKWA,Midlands,Primary,Zvishavane,P3,,
17909,CHIDORA,Midlands,Primary,Gokwe North,P3,-17.5078,28.58166
17910,CHIKANGO SATELLITE,Midlands,Primary,Gokwe North,P3,,
17911,CHIRISA,Midlands,Primary,Gokwe North,P3,-17.69114,28.34664
17912,GANGANGA,Midlands,Primary,Gokwe North,P3,-17.76091,28.6936
17913,KAFUSHAIRE,Midlands,Primary,Gokwe North,P3,-17.34943,28.77105
17914,MADHAMU,Midlands,Primary,Gokwe North,P3,-17.75175,28.19286
17915,MAKWIYO,Midlands,Primary,Gokwe North,P3,-17.21165,28.77268
17916,MANYULI,Midlands,Primary,Gokwe North,P3,-17.44803,28.34541
17917,MATUNGURU,Midlands,Primary,Gokwe North,P3,-17.64445,28.45781
17918,MUCHOWE,Midlands,Primary,Gokwe North,P3,-17.43844,28.98632
17919,MURUNGUZIVA,Midlands,Primary,Gokwe North,P3,-17.51629,28.78728
17920,NEVANA (ZANDA) ,Midlands,Primary,Gokwe North,P3,-17.89365,28.78966
17921,NYAMATSITO,Midlands,Primary,Gokwe North,P3,-17.17273,28.87812
17922,SIKWITI,Midlands,Primary,Gokwe North,P3,-17.38028,28.62499
17923,ZVIYO,Midlands,Primary,Gokwe North,P3,-17.46833,28.57707
17924,NEWMINE ,Midlands,Primary,Gokwe North,P3,,
17925,MUDZIMUNDIRINGE,Midlands,Primary,Gokwe South,P3,-18.14773,28.40081
17926,ST PAUL,Midlands,Primary,Gokwe South,P3,-18.22955,28.95638
17927,BOTEREKWA,Midlands,Primary,Shurugwi,P3,-19.79257,29.98679
17928,KASHAMBE,Midlands,Primary,Shurugwi,P3,-20.02693,29.87459
17929,TOTONGA,Midlands,Primary,Shurugwi,P3,-19.61705,29.86376
17930,ZHAUGWE  NORTH,Midlands,Primary,Shurugwi,P3,-19.55606,29.94353
17931,MSASA (RUCHANYU),Midlands,Primary,Shurugwi,P3,-19.74878,30.02122
17932,BARU KUSHINGA PRIMARY,Midlands,Primary,Chirumanzu,P3,-19.00452,30.55217
17933,BUSH PARK,Midlands,Primary,Chirumanzu,P3,-19.00139,30.40649
17934,CHAKASTEAD,Midlands,Primary,Chirumanzu,P3,-19.45503,30.70979
17935,CHINGEGOMO,Midlands,Primary,Chirumanzu,P3,-19.42953,30.28966
17936,CHISHUKU,Midlands,Primary,Chirumanzu,P3,-19.29849,30.32398
17937,CHIWODZA,Midlands,Primary,Chirumanzu,P3,-19.17369,30.33709
17938,NEW ENGLAND KUZVITONGA,Midlands,Primary,Chirumanzu,P3,,
17939,FAERDAN,Midlands,Primary,Chirumanzu,P3,-19.38633,30.41987
17940,GOODHOPE,Midlands,Primary,Chirumanzu,P3,-19.35976,30.70505
17941,BAMBANANI,Midlands,Primary,Gweru,P3,-19.44318,29.60985
17942,HILLVIEW,Midlands,Primary,Chirumanzu,P3,-19.33103,30.00275
17943,MAKUTI,Midlands,Primary,Chirumanzu,P3,-19.16537,30.1437
17944,MOFFAT,Midlands,Primary,Chirumanzu,P3,-19.24039,30.58378
17945,MUSENA,Midlands,Primary,Chirumanzu,P3,-18.92483,30.38993
17946,NETHERBURN,Midlands,Primary,Chirumanzu,P3,-19.272,30.18582
17947,NSWALA (DANGARENDOVE),Midlands,Primary,Chirumanzu,P3,-18.92725,30.52891
17948,NYAGARI,Midlands,Primary,Chirumanzu,P3,-19.27523,30.41721
17949,ORTONS DRIFT,Midlands,Primary,Chirumanzu,P3,-19.14955,30.65332
17950,UNION ( NYAMAKWE),Midlands,Primary,Chirumanzu,P3,-19.18214,30.71997
17951,UTAH,Midlands,Primary,Chirumanzu,P3,-19.21671,30.30106
17952,WELSTEAD CHINU,Midlands,Primary,Chirumanzu,P3,-19.29201,30.71228
17953,CHIRAYA  (WYLDERGROOVE),Midlands,Primary,Chirumanzu,P3,-19.24131,30.66765
17954,AMAPONGOGWE,Midlands,Primary,Gweru,P3,-19.81822,29.81447
17955,BUNINA,Midlands,Primary,Gweru,P3,-19.60673,29.54303
17956,CHAMINUKA,Midlands,Primary,Gweru,P3,-19.27587,29.60996
17957,CHISADZA,Midlands,Primary,Gweru,P3,-19.42804,29.28246
